Titel,Datum,Ort,Link,Adresse,lat,lon,Datum/Uhrzeit
"SingAlong Köln (Hits der 90er & 2000er), 21.01.2025","Tue, Jan 21, 8:00 PM",QUATER 1,https://www.eventbrite.de/e/singalong-koln-hits-der-90er-2000er-21012025-tickets-1058023890939?aff=ebdssbcitybrowsenightlife,Quatermarkt 1 50667 Köln,50.936763049999996,6.957436177246654,
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowsenightlife,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
"Leckmuschelparty ""In Wonderland""","Sat, Feb 1, 9:00 PM",The Cage - Köln,https://www.eventbrite.de/e/leckmuschelparty-in-wonderland-tickets-1085090056569?aff=ebdssbcitybrowsenightlife,Rathenauplatz 6 50674 Köln,50.930547000000004,6.937398422615797,
Wilde Herzen • Indie Pop Party mit deutschen Texten //  Helios 37 Köln,"Fri, Feb 7, 11:00 PM",Helios 37,https://www.eventbrite.de/e/wilde-herzen-indie-pop-party-mit-deutschen-texten-helios-37-koln-tickets-1053385968789?aff=ebdssbcitybrowsenightlife,Heliosstraße 37 50825 Köln,50.95018235,6.913339699099733,
"SingAlong Köln (Hits der 90er & 2000er), 21.01.2025","Tue, Jan 21, 8:00 PM",QUATER 1,https://www.eventbrite.de/e/singalong-koln-hits-der-90er-2000er-21012025-tickets-1058023890939?aff=ebdssbcitybrowsenightlife,Quatermarkt 1 50667 Köln,50.936763049999996,6.957436177246654,
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowsenightlife,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
"Leckmuschelparty ""In Wonderland""","Sat, Feb 1, 9:00 PM",The Cage - Köln,https://www.eventbrite.de/e/leckmuschelparty-in-wonderland-tickets-1085090056569?aff=ebdssbcitybrowsenightlife,Rathenauplatz 6 50674 Köln,50.930547000000004,6.937398422615797,
Wilde Herzen • Indie Pop Party mit deutschen Texten //  Helios 37 Köln,"Fri, Feb 7, 11:00 PM",Helios 37,https://www.eventbrite.de/e/wilde-herzen-indie-pop-party-mit-deutschen-texten-helios-37-koln-tickets-1053385968789?aff=ebdssbcitybrowsenightlife,Heliosstraße 37 50825 Köln,50.95018235,6.913339699099733,
Design Post@ PASSAGEN Interior Design Week Köln 2025,morgen um 17:00,DESIGN POST KÖLN GmbH + Co KG,https://www.eventbrite.de/e/design-post-passagen-interior-design-week-koln-2025-tickets-1132616970849?aff=ebdssbcitybrowse,Deutz-Mülheimer Straße 22A 50679 Köln,50.939520599999994,6.9789922,
DESIGN YOUR YEAR 2K25 PRAYER SHUT IN,morgen um 22:00,Evangel. Free Church congregation Köln-West,https://www.eventbrite.de/e/design-your-year-2k25-prayer-shut-in-tickets-1007849243217?aff=ebdssbcitybrowse,Lichtstraße 43i 50825 Köln,50.9481435,6.908399979066952,
Screening and Discussion: Audre Lorde - The Berlin Years 1984-1992,"Thu, Jan 16, 6:30 PM",Filmforum NRW,https://www.eventbrite.de/e/screening-and-discussion-audre-lorde-the-berlin-years-1984-1992-tickets-1116562140419?aff=ebdssbcitybrowse,Bischofsgartenstraße 1 50667 Köln,50.9406158,6.960824,
Startup Your Idea Contest - Das Finale,"Thu, Jan 23, 5:00 PM",Universität zu Köln,https://www.eventbrite.de/e/startup-your-idea-contest-das-finale-tickets-1053624612579?aff=ebdssbcitybrowse,Albertus-Magnus-Platz 50923 Köln,50.92780325,6.927622223468199,
STICKS & STONES Köln '25 - Das Job- & Karrierefestival,"Sat, Feb 8, 10:00 AM",Palladium,https://www.eventbrite.co.uk/e/sticks-stones-koln-25-das-job-karrierefestival-tickets-906784887007?aff=ebdssbcitybrowse,Schanzenstraße 36 51063 Köln,50.9681886,7.0157241,
gamescom LAN 2025,Kein Datum gefunden,Messepl. 1,https://www.eventbrite.de/e/gamescom-lan-2025-tickets-993644366047?aff=ebdssbcitybrowse,Messeplatz 1 Halle 2.1 / Tor H 50679 Köln,,,
Bademäntelparty 01.03.25 Stadthalle,"Sat, Mar 1, 12:00 PM",Stadthalle Köln,https://www.eventbrite.de/e/bademantelparty-010325-stadthalle-tickets-1109103411159?aff=ebdssbcitybrowse,Jan-Wellem-Straße 2 51065 Köln,50.95987555,7.005022831321961,
11. jobmesse köln,"Sat, Mar 29, 10:00 AM",MOTORWORLD Köln – Rheinland,https://www.eventbrite.de/e/11-jobmesse-koln-tickets-865488257677?aff=ebdssbcitybrowse,Butzweilerstraße 35-39 50829 Köln,50.98140735,6.8991188842807105,
Design Post@ PASSAGEN Interior Design Week Köln 2025,morgen um 17:00,DESIGN POST KÖLN GmbH + Co KG,https://www.eventbrite.de/e/design-post-passagen-interior-design-week-koln-2025-tickets-1132616970849?aff=ebdssbcitybrowse,Deutz-Mülheimer Straße 22A 50679 Köln,50.939520599999994,6.9789922,
